Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_344_P117, 95.25, 2128, 2145, 50, 34, 17
Kan_348_P011, 98.02, 2018, 2013, 17, 9, 14
Kan_035_P066, 97.74, 2482, 2478, 18, 17, 21
Kan_261_P256, 93.32, 1856, 1900, 48, 60, 16
Kan_214_P007, 98.12, 2655, 2682, 9, 34, 7
Kan_218_P025, 96.17, 1723, 1732, 43, 16, 7
Kan_212_P130, 97.85, 1724, 1739, 18, 17, 2
Kan_189_P017, 97.48, 1787, 1821, 9, 35, 1
Kan_348_P065, 94.56, 1361, 1407, 20, 50, 4
Kan_213_P076, 95.56, 1935, 1985, 34, 51, 1
Kan_348_P303, 96.02, 1283, 1299, 25, 21, 5
Kan_344_P008, 96.88, 2019, 2024, 28, 20, 15
Kan_167_P104, 94.76, 1354, 1386, 33, 35, 3
Kan_219_P073, 88.58, 1690, 1724, 127, 50, 16
Kan_168_P003, 96.24, 1331, 1330, 15, 17, 18
Kan_347_P004, 94.71, 1589, 1596, 57, 17, 10
Kan_023_P035, 99.05, 1375, 1378, 8, 4, 1
Kan_214_P070, 97.26, 2591, 2618, 10, 44, 17
Kan_212_P123, 97.11, 1730, 1743, 25, 19, 6
Kan_347_P201, 92.23, 1724, 1755, 73, 46, 15
Kan_168_P079, 99.08, 2271, 2280, 8, 11, 2
Kan_348_P278, 96.08, 1557, 1582, 26, 30, 5
Kan_035_P059, 97.26, 2558, 2558, 20, 25, 25
Kan_178_P009, 95.29, 1273, 1284, 27, 22, 11
Kan_052_P065, 97.3, 371, 376, 1, 7, 2
Kan_350_P198, 91.01, 1168, 1192, 47, 41, 17
Kan_348_P263, 96.22, 1774, 1787, 32, 24, 11
Kan_347_P183, 88.98, 1806, 1845, 130, 54, 15
Kan_167_P172, 94.72, 1364, 1376, 32, 26, 14
Kan_201_P041, 97.18, 1987, 1989, 32, 13, 11
Kan_347_P059, 89, 1764, 1782, 140, 36, 18
Kan_344_P307, 97.44, 1992, 1997, 28, 14, 9
Kan_178_P033, 96.66, 1466, 1482, 25, 20, 4
Kan_046_P036, 98.52, 1959, 1960, 20, 5, 4
Kan_219_P246, 94.46, 1860, 1881, 52, 36, 15
Kan_259_P033, 93.95, 1686, 1744, 30, 65, 7
Kan_166_P069, 96.37, 1019, 1017, 17, 9, 11
Kan_344_P105, 97.05, 2003, 2020, 30, 23, 6
Kan_165_P041, 99.03, 1652, 1655, 9, 5, 2
