Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_344_P117, 79.72, 217, 217, 44, 0, 0
Kan_348_P011, 88.79, 232, 232, 26, 0, 0
Kan_035_P066, 79.73, 296, 285, 45, 2, 13
Kan_261_P256, 63.18, 220, 220, 71, 5, 5
Kan_214_P007, 88.85, 314, 314, 33, 1, 1
Kan_218_P025, 82.63, 213, 213, 31, 3, 3
Kan_212_P130, 84.65, 202, 207, 26, 5, 0
Kan_189_P017, 89.16, 203, 213, 12, 10, 0
Kan_348_P065, 79.29, 169, 177, 27, 8, 0
Kan_213_P076, 64.68, 218, 236, 59, 18, 0
Kan_348_P303, 78.67, 150, 153, 29, 3, 0
Kan_344_P008, 81.25, 224, 223, 41, 0, 1
Kan_167_P104, 80.12, 171, 171, 34, 0, 0
Kan_219_P073, 56.81, 213, 220, 85, 7, 0
Kan_168_P003, 74.83, 147, 153, 27, 8, 2
Kan_347_P004, 76.5, 200, 201, 38, 5, 4
Kan_023_P035, 93.92, 181, 180, 10, 0, 1
Kan_214_P070, 82.62, 328, 329, 52, 3, 2
Kan_212_P123, 79.9, 199, 206, 33, 7, 0
Kan_347_P201, 65.1, 192, 205, 54, 13, 0
Kan_168_P079, 92.8, 264, 264, 17, 1, 1
Kan_348_P278, 76.47, 187, 189, 42, 2, 0
Kan_035_P059, 79.86, 293, 286, 50, 1, 8
Kan_178_P009, 78.91, 147, 145, 29, 0, 2
Kan_052_P065, 88.46, 52, 53, 5, 1, 0
Kan_350_P198, 49.66, 145, 161, 49, 20, 4
Kan_348_P263, 81.07, 206, 205, 38, 0, 1
Kan_347_P183, 63.35, 191, 198, 61, 8, 1
Kan_167_P172, 75.28, 178, 172, 36, 1, 7
Kan_201_P041, 82.44, 262, 267, 37, 7, 2
Kan_347_P059, 68.25, 211, 217, 59, 7, 1
Kan_344_P307, 84.09, 220, 219, 34, 0, 1
Kan_178_P033, 83.07, 189, 190, 31, 1, 0
Kan_046_P036, 88.46, 234, 230, 23, 0, 4
Kan_219_P246, 67.44, 215, 219, 66, 4, 0
Kan_259_P033, 65.89, 214, 218, 69, 4, 0
Kan_166_P069, 73.64, 129, 121, 26, 0, 8
Kan_344_P105, 81.98, 222, 222, 40, 0, 0
Kan_165_P041, 93.2, 206, 205, 13, 0, 1
Kan_168_P286, 91.88, 271, 271, 22, 0, 0
Kan_168_P059, 90.98, 133, 133, 12, 0, 0
Kan_217_P026, 79.82, 337, 346, 55, 11, 2
Kan_177_P008, 74.02, 127, 132, 26, 6, 1
Kan_259_P174, 43.42, 152, 165, 73, 13, 0
Kan_046_P026, 88.94, 235, 237, 24, 2, 0
Kan_179_P129, 87.98, 183, 182, 19, 1, 2
Kan_349_P100, 55.31, 226, 227, 76, 13, 12
Kan_176_P001, 73.75, 80, 78, 19, 0, 2
Kan_344_P192, 82.99, 241, 241, 41, 0, 0
Kan_179_P041, 81.06, 227, 219, 33, 1, 9
Kan_347_P273, 75.51, 196, 196, 48, 0, 0
Kan_219_P151, 71.3, 216, 218, 60, 2, 0
Kan_167_P184, 80.43, 184, 186, 32, 3, 1
Kan_261_P150, 75.68, 111, 113, 25, 2, 0
Kan_261_P071, 72.86, 199, 198, 53, 0, 1
Kan_259_P162, 54.24, 177, 191, 67, 14, 0
Kan_219_P245, 61.5, 213, 214, 75, 4, 3
Kan_219_P011, 67.3, 211, 213, 63, 4, 2
Kan_350_P119, 55.84, 154, 169, 51, 16, 1
Kan_213_P043, 70.59, 204, 222, 42, 18, 0
Kan_213_P088, 71.57, 204, 213, 49, 9, 0
Kan_035_P125, 78.11, 265, 258, 45, 3, 10
Kan_177_P045, 86.41, 184, 188, 21, 4, 0
Kan_168_P295, 95.63, 252, 251, 10, 0, 1
Kan_213_P173, 69.59, 171, 186, 37, 15, 0
Kan_213_P193, 67.36, 193, 208, 48, 15, 0
Kan_212_P012, 80.98, 205, 218, 26, 13, 0
Kan_347_P058, 71.96, 214, 218, 52, 6, 2
Kan_023_P046, 97.74, 133, 132, 2, 0, 1
Kan_347_P275, 77.88, 104, 106, 19, 3, 1
Kan_176_P032, 69.16, 214, 230, 30, 26, 10
Kan_168_P171, 80.58, 206, 205, 35, 2, 3
Kan_046_P125, 86.67, 165, 163, 20, 0, 2
Kan_189_P002, 96.1, 205, 205, 8, 0, 0
Kan_344_P286, 82.96, 223, 225, 36, 2, 0
Kan_349_P333, 50.91, 220, 228, 82, 17, 9
Kan_216_P046, 92.92, 339, 340, 23, 1, 0
Kan_201_P034, 71.43, 231, 254, 43, 23, 0
Kan_212_P122, 79.49, 234, 227, 31, 5, 12
Kan_344_P170, 80.37, 214, 214, 42, 0, 0
Kan_216_P060, 84.71, 85, 85, 11, 1, 1
